user_id,event_id,rating,timestamp
356,2,2,2024-04-30 01:24:44
329,14,1,2024-04-30 01:24:44
606,3,2,2024-04-30 01:24:44
914,7,5,2024-04-30 01:24:44
668,6,5,2024-04-30 01:24:44
745,5,3,2024-04-30 01:24:44
236,17,2,2024-04-30 01:24:44
92,4,5,2024-04-30 01:24:44
846,11,3,2024-04-30 01:24:44
420,16,1,2024-04-30 01:24:44
613,15,4,2024-04-30 01:24:44
293,12,5,2024-04-30 01:24:44
827,19,3,2024-04-30 01:24:44
279,13,2,2024-04-30 01:24:44
94,20,4,2024-04-30 01:24:44
767,8,4,2024-04-30 01:24:44
758,9,4,2024-04-30 01:24:44
876,18,2,2024-04-30 01:24:44
975,10,1,2024-04-30 01:24:44
960,1,2,2024-04-30 01:24:44
504,13,2,2024-04-30 01:24:44
445,16,3,2024-04-30 01:24:44
997,8,3,2024-04-30 01:24:44
625,11,4,2024-04-30 01:24:44
198,15,1,2024-04-30 01:24:44
370,1,5,2024-04-30 01:24:44
239,14,4,2024-04-30 01:24:44
874,4,5,2024-04-30 01:24:44
56,5,3,2024-04-30 01:24:44
397,12,2,2024-04-30 01:24:44
793,2,1,2024-04-30 01:24:44
263,19,5,2024-04-30 01:24:44
727,7,3,2024-04-30 01:24:44
739,9,5,2024-04-30 01:24:44
444,18,4,2024-04-30 01:24:44
651,10,2,2024-04-30 01:24:44
426,3,3,2024-04-30 01:24:44
972,20,2,2024-04-30 01:24:44
337,17,1,2024-04-30 01:24:44
259,6,5,2024-04-30 01:24:44
932,16,5,2024-04-30 01:24:44
687,17,1,2024-04-30 01:24:44
581,2,2,2024-04-30 01:24:44
738,14,2,2024-04-30 01:24:44
973,5,2,2024-04-30 01:24:44
710,3,4,2024-04-30 01:24:44
945,9,1,2024-04-30 01:24:44
543,15,5,2024-04-30 01:24:44
346,18,2,2024-04-30 01:24:44
130,20,5,2024-04-30 01:24:44
154,12,2,2024-04-30 01:24:44
607,4,3,2024-04-30 01:24:44
402,11,4,2024-04-30 01:24:44
227,10,3,2024-04-30 01:24:44
750,6,4,2024-04-30 01:24:44
902,8,4,2024-04-30 01:24:44
388,7,2,2024-04-30 01:24:44
737,1,3,2024-04-30 01:24:44
533,19,4,2024-04-30 01:24:44
80,13,3,2024-04-30 01:24:44
833,10,5,2024-04-30 01:24:44
522,17,3,2024-04-30 01:24:44
273,19,2,2024-04-30 01:24:44
676,15,1,2024-04-30 01:24:44
534,9,5,2024-04-30 01:24:44
601,8,5,2024-04-30 01:24:44
227,14,4,2024-04-30 01:24:44
473,7,5,2024-04-30 01:24:44
657,13,3,2024-04-30 01:24:44
2,20,5,2024-04-30 01:24:44
160,2,2,2024-04-30 01:24:44
38,16,4,2024-04-30 01:24:44
342,3,3,2024-04-30 01:24:44
99,12,5,2024-04-30 01:24:44
910,5,3,2024-04-30 01:24:44
192,11,5,2024-04-30 01:24:44
825,6,3,2024-04-30 01:24:44
656,18,3,2024-04-30 01:24:44
238,1,5,2024-04-30 01:24:44
961,4,5,2024-04-30 01:24:44
772,15,1,2024-04-30 01:24:44
199,5,3,2024-04-30 01:24:44
383,6,3,2024-04-30 01:24:44
766,20,3,2024-04-30 01:24:44
969,13,5,2024-04-30 01:24:44
22,2,4,2024-04-30 01:24:44
505,17,2,2024-04-30 01:24:44
55,4,2,2024-04-30 01:24:44
790,16,3,2024-04-30 01:24:44
120,1,5,2024-04-30 01:24:44
17,8,4,2024-04-30 01:24:44
816,3,1,2024-04-30 01:24:44
726,9,5,2024-04-30 01:24:44
926,18,3,2024-04-30 01:24:44
67,7,2,2024-04-30 01:24:44
844,19,3,2024-04-30 01:24:44
571,11,3,2024-04-30 01:24:44
659,14,3,2024-04-30 01:24:44
399,10,2,2024-04-30 01:24:44
26,12,2,2024-04-30 01:24:44
643,10,4,2024-04-30 01:24:44
49,20,2,2024-04-30 01:24:44
279,3,5,2024-04-30 01:24:44
152,16,2,2024-04-30 01:24:44
286,18,1,2024-04-30 01:24:44
233,6,1,2024-04-30 01:24:44
378,9,5,2024-04-30 01:24:44
972,8,4,2024-04-30 01:24:44
423,1,1,2024-04-30 01:24:44
33,12,2,2024-04-30 01:24:44
866,19,5,2024-04-30 01:24:44
704,5,1,2024-04-30 01:24:44
128,13,1,2024-04-30 01:24:44
332,15,4,2024-04-30 01:24:44
210,2,1,2024-04-30 01:24:44
652,17,3,2024-04-30 01:24:44
120,14,1,2024-04-30 01:24:44
363,4,4,2024-04-30 01:24:44
194,7,4,2024-04-30 01:24:44
862,11,2,2024-04-30 01:24:44
187,7,3,2024-04-30 01:24:44
933,2,4,2024-04-30 01:24:44
668,1,4,2024-04-30 01:24:44
414,5,2,2024-04-30 01:24:44
